Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Professor Tim Spector	scientist	https://www.bbc.co.uk/programmes/m001xvl5	Professor Tim Spector, scientist	A Tale of Two Cities by Charles Dickens	A fermenting set	All of Me (live) - Louis Armstrong	Lauren Laverne	2024-03-31	11:15	David Bowie	Life On Mars?	Sergey Prokofiev	Prokofiev: Romeo and Juliet, Op. 64 / Act 1 - 13. Dance Of The Knights	The Rolling Stones	Paint It Black	Fleetwood Mac	Dreams	Peter Boyle & Norbert Schiller & Gene Wilder	Puttin' on the Ritz	Louis Armstrong	All of Me (live)	The Jam	That's Entertainment	Elvis Presley	In The Ghetto
Professor Alice Roberts	scientist and broadcaster	https://www.bbc.co.uk/programmes/m001xm3m	Professor Alice Roberts, scientist and broadcaster	Middlemarch by George Eliot	A kayak	Merry Christmas Mr. Lawrence. Composed by Ryuichi Sakomoto and performed by Phoebe Stevens	Lauren Laverne	2024-03-24	11:15	Pixies	Monkey Gone to Heaven	The Sisters of Mercy	Temple of Love	Austin Wintory	Apotheosis	The Smashing Pumpkins	Cherub Rock	Live Lounge Allstars	Times Like These (BBC Radio 1 Stay Home Live Lounge)	System of a Down	Sugar	Phoebe Stevens	Merry Christmas Mr Lawrence	Johnny Flynn & Robert MacFarlane	Coins for the Eyes
Jenny Sealey	theatre director	https://www.bbc.co.uk/programmes/m001xff3	Jenny Sealey, theatre director	The Complete Works of Armistead Maupin	A photography kit	Handel: Messiah, HWV 56, Pt. 2: No. 44, Chorus. Hallelujah, for the Lord God Omnipotent Reigneth. Composed by George Frideric Handel and performed by The Sixteen Choir, conducted by Harry Christophers	Lauren Laverne	2024-03-17	11:15	George Frideric Handel	Handel: Messiah, HWV 56, Pt. 2: No. 44, Chorus. Hallelujah	The Beatles	Yesterday	The Undertones	Teenage Kicks	Roberta Flack	The First Time Ever I Saw Your Face	Patti Smith Group	Because the Night	John Kelly and Graeae Theatre Company	Spasticus Autisticus	The cast of Reasons to be Cheerful	If It Can't Be Right Then It Must Be Wrong	Kirsty MacColl	Days
James Graham	playwright	https://www.bbc.co.uk/programmes/m001x48w	James Graham, playwright	A Brief History of Time by Stephen Hawking	A keg of Single Malt Scotch Whisky	Where Are We Now? - David Bowie	Lauren Laverne	2024-03-10	11:15	Pulp	Disco 2000	Glenn Miller	Chatanooga Choo Choo	Foo Fighters	Up in Arms	Gabriel Yared	Syncopes	Kylie Minogue	Your Disco Needs You	David Bowie	Where Are We Now?	Katie Brayben	If You Came To See Me Cry	Rufus Wainwright	Going To A Town
Rita Rae	Lady Rae	https://www.bbc.co.uk/programmes/m001wxrx	Rita Rae, Lady Rae, lawyer and judge	The Pursuit of Italy: A History of a Land, its Regions and their Peoples by David Gilmour	A solar powered car	Mamma - Beniamino Gigli	Lauren Laverne	2024-03-03	11:15	Sergey Rachmaninov	Piano Concerto No. 2 in C Minor, Op. 18 - III. Allegro scherzando	Giuseppe Verdi	"La traviata / Act II - ""Ah! Dite alla giovine"""	Beniamino Gigli	Mamma	Massimo Ranieri	Aranjuez mon amour	Fascinating Aïda	Cheap Flights	Georges Bizet	"Carmen, Act II: ""The Flower Song"" (""La fleur que tu m'avais jetee"")"	Giulio Caccini	Ave Maria	Peggy Wood (Mother Abbess)	Climb Ev'ry Mountain
Sandy Powell	costume designer	https://www.bbc.co.uk/programmes/m001wr4t	Sandy Powell, costume designer	Josef Koudelka: Gypsies	A lemon tree	Life on Mars? - David Bowie	Lauren Laverne	2024-02-25	11:15	T. Rex	Jeepster	Gustav Mahler	Adagietto, Symphony No. 5 in C-Sharp Minor	David Bowie	Life On Mars?	Alan Dunn	La Vie en Rose	Bobbi Gentry	I'll Never Fall in Love Again	Lou Reed	Satellite Of Love	Alison Limerick	Where Love Lives (Come On In)	Tony Bennett	I Left My Heart in San Francisco
Clive Oppenheimer	volcanologist	https://www.bbc.co.uk/programmes/m001wgxx	Clive Oppenheimer, volcanologist	The Vivisector by Patrick White	A seismometer	Debaser – Pixies	Lauren Laverne	2024-02-18	11:15	The Dave Brubeck Quartet	Blue Rondo a la Turk	Diana Ross	Love Hangover	Kraftwerk	Autobahn	The B‐52s	Lava	Pixies	Debaser	Olivier Messiaen	Turangalîla-symphonie, Part VI Jardin du sommeil d'amour	Bezawork Asfew	T'zeta	The Sixteen and Harry Christophers	Hymn for the Dormition of the Mother of God
Cillian Murphy	actor	https://www.bbc.co.uk/programmes/m001w72b	Cillian Murphy, actor	Samuel Beckett: The Complete Dramatic Works	An acoustic guitar and strings	We Can Work it Out - The Beatles	Lauren Laverne	2024-02-11	11:15	Paul Simon	The Boy in the Bubble	Séamus Ennis	The Wandering Minstrel	The Frank and Walters	Walter's Trip	U2	Bullet The Blue Sky	Queen	Somebody To Love	Radiohead	Everything In Its Right Place	The Beatles	We Can Work It Out	Lisa O'Neill	If I was a Painter
Val Wilmer	writer and photographer	https://www.bbc.co.uk/programmes/m001w0r6	Val Wilmer, writer and photographer	The Collective Works of Langston Hughes	Nail scissors	Criss Cross - Thelonious Monk	Lauren Laverne	2024-02-04	11:15	Louis Armstrong and His Hot Seven	Potato Head Blues	Big Bill Broonzy	Black, Brown and White	Zoltán Kodály	Sonata for Solo Cello, Op. 8_1. Allegro maestoso ma appassionato	Langston Hughes	Blues Montage, Pt. 2: Commercial Theatre / Morning After	S. E. Rogie	My Lovely Elizabeth	Thelonious Monk	Criss Cross	Julius Hemphill	Dogon A D	Joan Armatrading	Love And Affection
Jamie Dornan	actor	https://www.bbc.co.uk/programmes/m001vsl8	Jamie Dornan, actor	Where The Wild Things Are by Maurice Sendak	A golf club and balls	Forever – The Beach Boys	Lauren Laverne	2024-01-28	11:15	Van Morrison	Caravan	Philip Glass	Violin Concerto No. 1: II. Quarter Note = 108	Sigur Rós	Hoppípolla	Simon & Garfunkel	Bridge Over Troubled Water	Brendan Benson	Metarie	The Beach Boys	Forever	The Beatles	Something	The Waterboys	The Whole of the Moon
Sheku Kanneh-Mason	cellist	https://www.bbc.co.uk/programmes/m001vl50	Sheku Kanneh-Mason, cellist	The Feynman Lectures on Physics by Richard Feynman	A cello and strings	Requiem in D minor, K. 626 , Introitus 1 – Requiem. Composed by Wolfgang Amadeus Mozart and performed by the Monteverdi Choir	Lauren Laverne	2024-01-21	11:15	Edward Elgar	Cello Concerto in E minor (Op.85) 1st Movement, Allegro - moderato	The Melodians	Rivers of Babylon	Pluto Shervington	Dat	Joseph Haydn	String Quartet in C major, Op 20 No. 2, Capriccio: Adagio	Bob Marley	Chances Are	Wolfgang Amadeus Mozart	Requiem in D minor, K. 626 , Introitus 1 - Requiem	Dmitry Shostakovich	Symphony No.11 'The Year 1905' - II. The 9th January; Adagio	Johann Sebastian Bach	Largo from Organ Sonata No.5 in C major, BWV 529
Guli Francis-Dehqani	Church of England Bishop	https://www.bbc.co.uk/programmes/m001vbq7	Guli Francis-Dehqani, Church of England Bishop	The Book of Kings	Photo albums	Requiem in D Minor, Op. 48: VI. Libera me. Composed by Gabriel Fauré and performed by Stephen Varcoe (baritone), The Cambridge Singers, conducted by John Rutter	Lauren Laverne	2024-01-14	11:15	Gabriel Fauré	Requiem in D Minor, Op. 48: VI. Libera me	Homayoun Shajarian and Dastan Ensemble	Morgh-e Sahar	Black Box	Ride On Time	Frank Bridge	Miniatures for Piano Trio. Set 2: No. 4, Romance	Gabriel Francis-Dehqani & Fiona Sweeney & Kryštof Kohout & Will Harmer	Variations on Bahram's Melody	Sinéad O’Connor	Take Me To Church	Keane	Sovereign Light Café	Golnar Shahyar, Mahan Mirarab, & Luis Guerra	Mahi
